"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"260735",21990,"HY346232","07/19/2015 12:01:00 AM","005XX N AVERS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1122,11,27,23,"01A",1150629,1903229,2015,"08/17/2015 03:03:40 PM",41.890358524,-87.722273552,"(41.890358524, -87.722273552)"
"260736",21991,"HY348984","07/20/2015 11:40:00 PM","074XX N ROGERS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",2422,24,49,1,"01A",1163384,1949317,2015,"08/17/2015 03:03:40 PM",42.01656745,-87.674129267,"(42.01656745, -87.674129267)"
"260737",21992,"HY350286","07/21/2015 09:39:00 PM","059XX S STATE ST","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false",232,2,20,40,"01A",1177289,1865734,2015,"08/17/2015 03:03:40 PM",41.78690669,-87.625500912,"(41.78690669, -87.625500912)"
"260738",21993,"HY354142","07/24/2015 06:45:00 PM","012XX S KOLIN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1011,10,24,29,"01A",1147580,1894006,2015,"08/17/2015 03:03:40 PM",41.865108577,-87.73370765,"(41.865108577, -87.73370765)"
"260739",21994,"HY354568","07/25/2015 12:47:00 AM","049XX W HUBBARD ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1532,15,28,25,"01A",1143338,1902559,2015,"08/17/2015 03:03:40 PM",41.888659323,-87.749066571,"(41.888659323, -87.749066571)"
"260740",21995,"HY355695","07/25/2015 11:22:00 PM","011XX E 73RD ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","true","false",324,3,5,69,"01A",1184969,1856838,2015,"04/13/2016 03:55:28 PM",41.762318317,-87.597621239,"(41.762318317, -87.597621239)"
"260741",21996,"HY355926","07/26/2015 02:34:00 AM","006XX N AVERS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false",1122,11,27,23,"01A",1150608,1904047,2015,"08/17/2015 03:03:40 PM",41.892603612,-87.722329283,"(41.892603612, -87.722329283)"
"260742",21997,"HY355926","07/26/2015 02:34:00 AM","006XX N AVERS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false",1122,11,27,23,"01A",1150608,1904047,2015,"08/17/2015 03:03:40 PM",41.892603612,-87.722329283,"(41.892603612, -87.722329283)"
"260743",21998,"HY356151","07/26/2015 10:14:00 AM","081XX S MANISTEE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",422,4,7,46,"01A",1195916,1851566,2015,"08/17/2015 03:03:40 PM",41.747587631,-87.557673948,"(41.747587631, -87.557673948)"
"260744",21999,"HY356849","07/26/2015 08:28:00 PM","028XX S KEELER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false",1031,10,22,30,"01A",1148849,1884730,2015,"08/17/2015 03:03:40 PM",41.839629644,-87.72928862,"(41.839629644, -87.72928862)"
"260745",22001,"HY359179","07/28/2015 02:58:00 PM","016XX W VAN BUREN ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",1231,12,2,28,"01A",1165371,1898226,2015,"11/26/2015 03:54:17 PM",41.876329051,-87.668276406,"(41.876329051, -87.668276406)"
"260746",22002,"HY346207","07/04/2015 04:00:00 PM","083XX S DREXEL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","false","true",632,6,8,44,"01A",1183675,1849896,2015,"08/20/2015 04:14:54 PM",41.743299025,-87.602579976,"(41.743299025, -87.602579976)"
"260747",22006,"HY361399","07/30/2015 04:00:00 AM","003XX E 120TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",532,5,9,53,"01A",1180212,1825451,2015,"08/17/2015 03:03:40 PM",41.676298724,-87.616014618,"(41.676298724, -87.616014618)"
"260748",22011,"HY362660","07/31/2015 12:10:00 AM","089XX S HOUSTON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",424,4,10,46,"01A",1198074,1846300,2015,"02/21/2016 03:43:33 PM",41.733083674,-87.549942225,"(41.733083674, -87.549942225)"
"260749",22012,"HY365437","08/02/2015 01:38:00 AM","048XX W KAMERLING AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",2533,25,37,25,"01A",1143890,1908544,2015,"08/17/2015 03:03:40 PM",41.905072512,-87.746889161,"(41.905072512, -87.746889161)"
"260750",22013,"HY365746","08/02/2015 05:00:00 AM","117XX S LA SALLE ST","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false",522,5,34,53,"01A",1177366,1827100,2015,"08/17/2015 03:03:40 PM",41.680888377,-87.626382106,"(41.680888377, -87.626382106)"
"260751",22014,"HY365558","08/02/2015 09:40:00 AM","043XX S LAKE SHORE DR SB","0110","HOMICIDE","FIRST DEGREE MURDER","PARK PROPERTY","false","false",222,2,4,36,"01A",1185538,1876584,2015,"08/17/2015 03:03:40 PM",41.81648957,-87.594914218,"(41.81648957, -87.594914218)"
"260752",22015,"HY281912","07/17/2015 07:13:00 AM","039XX W CONGRESS PKWY","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1132,11,24,26,"01A",1150109,1897399,2015,"08/17/2015 03:03:40 PM",41.874370513,-87.724335186,"(41.874370513, -87.724335186)"
"260753",22016,"HY369622","08/05/2015 06:55:00 AM","075XX S DAMEN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",611,6,18,67,"01A",1164331,1854706,2015,"08/17/2015 03:03:40 PM",41.756927283,-87.673322259,"(41.756927283, -87.673322259)"
"260754",22017,"HY370813","08/05/2015 11:49:00 PM","011XX N CENTRAL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1511,15,29,25,"01A",1138796,1907229,2015,"08/17/2015 03:03:40 PM",41.901558034,-87.765633246,"(41.901558034, -87.765633246)"
"260755",22018,"HY370898","08/06/2015 02:29:00 AM","013XX W 108TH PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",2234,22,34,75,"01A",1169296,1832814,2015,"08/17/2015 03:03:40 PM",41.696746452,-87.655757884,"(41.696746452, -87.655757884)"
"260756",22019,"HY335410","07/10/2015 05:04:00 PM","023XX W WASHINGTON BLVD","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","false","false",1223,12,2,28,"01A",NA,NA,2015,"08/17/2015 03:03:40 PM",NA,NA,""
"260757",22020,"HY371882","08/06/2015 06:52:00 PM","109XX S PARNELL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",2233,22,34,49,"01A",1174576,1832444,2015,"08/17/2015 03:03:40 PM",41.695615506,-87.636436642,"(41.695615506, -87.636436642)"
"260758",22021,"HY371882","08/06/2015 07:43:00 PM","109XX S PARNELL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",2233,22,34,49,"01A",1174576,1832444,2015,"08/17/2015 03:03:40 PM",41.695615506,-87.636436642,"(41.695615506, -87.636436642)"
"260759",22022,"HY372265","08/07/2015 02:42:00 AM","001XX E 117TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",532,5,9,53,"01A",1179244,1827364,2015,"08/17/2015 03:03:40 PM",41.68157034,-87.619499704,"(41.68157034, -87.619499704)"
"260760",22023,"HY373507","08/07/2015 11:52:00 PM","064XX S JUSTINE ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",725,7,17,67,"01A",1167110,1862121,2015,"08/17/2015 03:03:40 PM",41.777216063,-87.662925863,"(41.777216063, -87.662925863)"
"260761",22024,"HY362815","08/03/2015 12:01:00 AM","043XX S WOOD ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",924,9,12,61,"01A",1165075,1875890,2015,"08/17/2015 03:03:40 PM",41.81504317,-87.669996658,"(41.81504317, -87.669996658)"
"260762",22025,"HY364159","08/04/2015 12:01:00 AM","010XX W 14TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","CHA PARKING LOT","false","false",1232,12,25,28,"01A",1169715,1893570,2015,"08/17/2015 03:03:40 PM",41.863459158,-87.652462374,"(41.863459158, -87.652462374)"
"260763",22026,"HY375951","08/09/2015 11:26:00 PM","015XX S KILDARE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1012,10,24,29,"01A",1147971,1892066,2015,"08/17/2015 03:03:40 PM",41.859777475,-87.732322122,"(41.859777475, -87.732322122)"
"260764",22027,"HY374842","08/10/2015 01:49:00 PM","012XX S ST LOUIS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",1021,10,24,29,"01A",1153240,1893884,2015,"08/17/2015 03:03:40 PM",41.864663432,-87.712932753,"(41.864663432, -87.712932753)"
"260765",22028,"HY378773","08/11/2015 11:33:00 PM","007XX E 131ST ST","0110","HOMICIDE","FIRST DEGREE MURDER","CHA PARKING LOT","true","false",533,5,9,54,"01A",1183788,1818527,2015,"02/05/2016 03:47:33 PM",41.657215827,-87.603140417,"(41.657215827, -87.603140417)"
